valore,category_1,image_1,category_2,image_2,id_floritaly,id_actaplantarum,nome_com,link_imm,usi_attestati,wikipedia,wikispecies
Silybum marianum (L.) Gaertn.,Asteraceae,Asteraceae.png,Silybum marianum,Silybum.png,5927,505927,"Cardo di Santa Maria, Cardo mariano, Cardo lattario",https://www.actaplantarum.org/z_forum/immag/imm.php?i=176942,Entità commestibile Entità officinale,https://it.wikipedia.org/wiki/Silybum_marianum,https://species.wikimedia.org/wiki/Silybum_marianum
Taraxacum sp.,Asteraceae,Asteraceae.png,Taraxacum,Taraxacum.png,,,,,,https://it.wikipedia.org/wiki/Taraxacum,https://species.wikimedia.org/wiki/Taraxacum
Alnus glutinosa (L.) Gaertn.,Betulaceae,Betulaceae.png,Alnus,Alnus.png,250,500250,"Ontano comune, Ontano nero, Alno, Alno nero",https://www.actaplantarum.org/z_forum/immag/imm.php?i=649337,Entità officinale; Uso forestale; Uso artigianale,https://it.wikipedia.org/wiki/Alnus_glutinosa,https://species.wikimedia.org/wiki/Alnus_glutinosa
Alnus sp.,Betulaceae,Betulaceae.png,Alnus,Alnus.png,,,,,,https://it.wikipedia.org/wiki/Alnus,https://species.wikimedia.org/wiki/Alnus
Betula sp.,Betulaceae,Betulaceae.png,Betul,Betula.png,,,,,,https://it.wikipedia.org/wiki/Betula,https://species.wikimedia.org/wiki/Betula
Carpinus betulus L.,Betulaceae,Betulaceae.png,Carpinus,Carpinus.png,253,500253,"Carpino comune, Carpino bianco",https://www.actaplantarum.org/z_forum/immag/imm.php?i=1824,Uso forestale; Uso artigianale,https://it.wikipedia.org/wiki/Carpinus_betulus,https://species.wikimedia.org/wiki/Carpinus_betulus
Carpinus sp.,Betulaceae,Betulaceae.png,Carpinus,Carpinus.png,,,,,,https://it.wikipedia.org/wiki/Carpinus,https://species.wikimedia.org/wiki/Carpinus
Corylus avellana L.,Betulaceae,Betulaceae.png,Corylus,Corylus.png,256,500256,"Nocciolo comune, Nocciolo, Avellano, Avellana, Acciardello, Nocchio",https://www.actaplantarum.org/z_forum/immag/imm.php?i=363708,Entità commestibile Entità officinale; Uso cosmetico profumiero Uso forestale; Uso artigianale,https://it.wikipedia.org/wiki/Corylus_avellana,https://species.wikimedia.org/wiki/Corylus_avellana
Corylus sp.,Betulaceae,Betulaceae.png,Corylus,Corylus.png,,,,,,https://it.wikipedia.org/wiki/Corylus,https://species.wikimedia.org/wiki/Corylus
Ostrya carpinifolia Scop.,Betulaceae,Betulaceae.png,Ostrya,Ostrya.png,255,500255,"Carpino nero, Carpinella",https://www.actaplantarum.org/z_forum/immag/imm.php?i=8640,Entità officinale; Uso forestale; Uso artigianale,https://it.wikipedia.org/wiki/Ostrya_carpinifolia,https://species.wikimedia.org/wiki/Ostrya_carpinifolia
Ostrya sp.,Betulaceae,Betulaceae.png,Ostrya,Ostrya.png,,,,,,https://it.wikipedia.org/wiki/Ostrya,https://species.wikimedia.org/wiki/Ostrya
Carpinus betulus/orientalis ,Betulaceae,Betulaceae.png,Carpinus,Carpinus.png,,,,,,,
Carpinus/Ostrya sp. ,Betulaceae,Betulaceae.png,Carpinus/Ostrya sp. ,Carpinus/Ostrya.png,,,,,,,
Borago officinalis L.,Boraginaceae,Boraginaceae.png,Borago officinalis,Borago.png,4342,504342,"Borragine comune, Borrana, Borragine",https://www.actaplantarum.org/z_forum/immag/imm.php?i=221504,Entità commestibile Entità officinale; Uso cosmetico profumiero; Uso artigianale,https://it.wikipedia.org/wiki/Borago_officinalis,https://species.wikimedia.org/wiki/Borago_officinalis
Buglossoides arvensis (L.) I.M.Johnst. subsp. sibthorpiana (Griseb.) R.Fern.,Boraginaceae,Boraginaceae.png,Buglossoides arvensis,Buglossoides.png,4262,504262,Erba-perla di Sibthorp,,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Buglossoides_arvensis,https://species.wikimedia.org/wiki/Buglossoides_arvensis
Echium sp.,Boraginaceae,Boraginaceae.png,Echium,Echium.png,,,,,,https://it.wikipedia.org/wiki/Echium,https://species.wikimedia.org/wiki/Echium
Myosotis arvensis (L.) Hill subsp. arvensis,Boraginaceae,Boraginaceae.png,Myosotis arvensis,Myosotis.png,4348,504348,"Nontiscordardimè minore, Nontiscordardimè dei campi",https://www.actaplantarum.org/z_forum/immag/imm.php?i=275284,Entità commestibile,https://it.wikipedia.org/wiki/Myosotis_arvensis,https://species.wikimedia.org/wiki/Myosotis_arvensis
Brassica nigra (L.) W.D.J.Koch,Brassicaceae,Brassicaceae.png,Brassica,Brassica.png,1658,501658,"Cavolo senape-nera, Senape nera",https://www.actaplantarum.org/z_forum/immag/imm.php?i=388180,Entità commestibile Entità officinale; Entità mellifera,https://it.wikipedia.org/wiki/Brassica_nigra,https://species.wikimedia.org/wiki/Brassica_nigra
Brassica sp.,Brassicaceae,Brassicaceae.png,Brassica,Brassica.png,,,,,,https://it.wikipedia.org/wiki/Brassica,https://species.wikimedia.org/wiki/Brassica
Brassicaceae ND,Brassicaceae,Brassicaceae.png,ND,Brassicaceae.png,10585,510585,Sparviere brassicoide,,Nessun utilizzo noto,,
